mw_id,ce_id
KHX0347-0005,21d5dd49-fe14-4cab-a43c-7f6b1ebcce0e
KHX0743-0002,3862a921-ca32-4b2b-b4cf-fad74f598895
HEX9022-0021,6c48aeb0-4cc2-41d2-ae02-abfafedfe0ab
HEX8729-0003,0114ea29-a706-4e9d-866b-eb491bcca384
KHX2376-0017,7295de40-8f8f-421a-9a19-2f2ba9efff3e
HEX14828-0006,fa327baa-22f3-4761-89cf-a9f0fd86be01
HEX2380-0004,8c24c0ee-69cd-4948-b648-564c7c6127c4
HEX6814-0004,35768811-d034-45ab-b3c8-07e1c62270ac
HEX9475-0010,f6d97e98-8127-421b-8858-a1187153d5b5
KHX2581-0001,a075a662-291f-4518-b4bf-df218fa7f892
HEX15083-0002,df89341b-fabe-4924-91e4-dfccbe1ae6b8
HEX4183-0012,0ecbad26-3312-4469-b58e-4ca87d746201
HEX7638-0005,b6135368-2f19-49fc-ba64-cd4141077558
HEX9475-0006,2c479095-9bb2-4be0-bc77-9eb43d01a174
KHX1601-0001,05f49201-fa65-4186-944e-8bd5369e6475
HEX14927-0009,9cc3b626-8215-4879-b127-061568092e06
HEX14367-0007,65559f4a-0694-47af-a687-5aa1e624cf5c
HEX1789-0009,6c8cd9eb-fe81-4296-9474-7638ff3e6caa
HEX6814-0013,ed5955e3-f1ec-4889-8cae-6d566f3a35c8
KHX1357-0003,e198dd28-0831-4416-b8b0-0db52b8bbcc5
HEX1201-0009,42812a95-70bf-40da-a17e-90368f6550a9
KHX1357-0010,a015b833-42cd-4290-833c-1e541be528ea
HEX2688-0007,3f944f43-e0a8-4118-8a6d-537ed00de145
HEX6445-0012,35e73038-739f-423c-9f7e-b50a4a537394
HEX14367-0002,448c8f59-b3b8-4819-83ea-93085e16c434
KDX2430-0013,414daa5d-b6c5-40b8-aa24-5bafe65f18a9
JK221778-0006,cbe90dd4-3e23-40fd-8e83-7b123dd24a45
KDX2411-0003,a4a1552a-4931-45b1-8496-98a84cc1f452
KDX1793-0002,47ef2636-df5c-4db5-b4e6-dc0fc403637c
KDX2216-0004,226ffb12-7e87-41ed-9991-0ae708b37914
KDX2533-0009,65e34d2e-d0a6-47c6-9327-79d3f273644e
KDX2465-0004,152303a8-7aae-4622-b32b-89bd2f97bdef
KDX1793-0015,f2869cd9-59fa-4cfa-8911-57fb80381877
KDX2286-0005,2914ee7e-74f2-4062-912d-c2b7bea3c17f
